"start_time","rest","light","moderate","vigorous"
"0",56,1,3,0
"0",53,2,5,0
"0",56,2,1,1
"0",53,4,3,0
"0",60,0,0,0
"0",60,0,0,0
"0",52,2,6,0
"1",59,0,0,1
"1",60,0,0,0
"1",56,2,1,1
"1",60,0,0,0
"1",59,0,0,1
"1",60,0,0,0
"1",57,1,2,0
"2",60,0,0,0
"2",59,0,0,1
"2",60,0,0,0
"2",60,0,0,0
"2",60,0,0,0
"2",60,0,0,0
"2",60,0,0,0
"3",60,0,0,0
"3",60,0,0,0
"3",60,0,0,0
"3",60,0,0,0
"3",60,0,0,0
"3",60,0,0,0
"3",60,0,0,0
"4",60,0,0,0
"4",60,0,0,0
"4",60,0,0,0
"4",60,0,0,0
"4",60,0,0,0
"4",60,0,0,0
"4",59,0,0,1
"5",59,0,0,1
"5",60,0,0,0
"5",60,0,0,0
"5",60,0,0,0
"5",60,0,0,0
"5",60,0,0,0
"5",60,0,0,0
"6",60,0,0,0
"6",60,0,0,0
"6",60,0,0,0
"6",60,0,0,0
"6",60,0,0,0
"6",60,0,0,0
"6",60,0,0,0
"7",60,0,0,0
"7",59,0,0,1
"7",60,0,0,0
"7",60,0,0,0
"7",60,0,0,0
"7",60,0,0,0
"7",59,0,1,0
"8",58,1,0,1
"8",50,4,6,0
"8",60,0,0,0
"8",59,0,0,1
"8",58,1,1,0
"8",59,1,0,0
"8",60,0,0,0
"9",51,3,5,1
"9",45,6,8,1
"9",57,1,2,0
"9",57,2,1,0
"9",48,6,6,0
"9",50,3,6,1
"9",55,2,2,1
"10",47,6,7,0
"10",38,8,14,0
"10",55,2,3,0
"10",50,4,5,1
"10",36,7,16,1
"10",36,10,13,1
"10",49,5,6,0
"11",41,7,11,1
"11",36,7,16,1
"11",55,1,4,0
"11",47,6,7,0
"11",35,6,19,0
"11",40,9,10,1
"11",38,10,12,0
"12",37,8,14,1
"12",44,7,9,0
"12",47,3,9,1
"12",52,5,2,1
"12",35,9,15,1
"12",30,12,17,1
"12",48,5,6,1
"13",34,9,15,2
"13",43,5,11,1
"13",34,8,17,1
"13",39,12,9,0
"13",34,9,17,0
"13",28,13,18,1
"13",38,7,15,0
"14",36,8,14,2
"14",36,5,19,0
"14",37,6,17,0
"14",48,7,5,0
"14",36,9,14,1
"14",39,5,15,1
"14",32,7,20,1
"15",38,8,14,0
"15",40,8,11,1
"15",51,3,5,1
"15",54,4,1,1
"15",40,9,11,0
"15",38,8,13,1
"15",30,7,23,0
"16",32,9,18,1
"16",50,5,4,1
"16",49,4,7,0
"16",53,3,4,0
"16",42,9,9,0
"16",33,11,16,0
"16",34,8,17,1
"17",44,6,10,0
"17",49,4,7,0
"17",46,3,11,0
"17",31,16,13,0
"17",39,4,16,1
"17",38,8,13,1
"17",24,8,28,0
"18",39,8,13,0
"18",45,7,8,0
"18",47,5,8,0
"18",32,9,19,0
"18",38,9,13,0
"18",32,11,15,2
"18",23,7,27,3
"19",46,7,6,1
"19",45,6,9,0
"19",46,4,9,1
"19",44,9,7,0
"19",42,6,12,0
"19",31,10,19,0
"19",27,8,23,2
"20",46,6,7,1
"20",43,5,12,0
"20",45,6,8,1
"20",48,7,5,0
"20",23,13,24,0
"20",34,8,18,0
"20",34,5,20,1
"21",47,6,6,1
"21",40,6,13,1
"21",41,4,14,1
"21",45,9,6,0
"21",24,10,24,2
"21",30,10,19,1
"21",41,7,11,1
"22",50,4,6,0
"22",50,3,6,1
"22",33,7,19,1
"22",43,9,8,0
"22",41,9,10,0
"22",39,7,14,0
"22",47,2,11,0
"23",54,2,3,1
"23",50,4,6,0
"23",42,4,14,0
"23",42,7,11,0
"23",58,0,1,1
"23",52,4,4,0
"23",45,2,13,0
